no,admin1_bps_code,admin1_bps,status,date,title,source,type_source
1,11,ACEH,tutup,15 Maret 2020,Surat Edaran Gubernur Aceh Tentang Pelaksanaan Kegiatan Belajar Mengajar di Rumah,https://bpba.acehprov.go.id/index.php/informasi/read/2020/03/17/213/surat-edaran-gubernur-aceh-tentang-pelaksanaan-kegiatan-belajar-mengajar-di-rumah.html,regulation
2,11,ACEH,tutup,15 Maret 2020,Aceh Barat liburkan aktivitas sekolah cegah COVID-19,https://aceh.antaranews.com/berita/127218/aceh-barat-liburkan-aktivitas-sekolah-cegah-covid-19,regulation
3,11,ACEH,tutup,16 Maret 2020,"Aceh, Jambi, NTB Liburkan Sekolah Dua Pekan Cegah Corona",https://www.cnnindonesia.com/nasional/20200316092721-20-483715/aceh-jambi-ntb-liburkan-sekolah-dua-pekan-cegah-corona,news
4,11,ACEH,buka,13 Juli 2020,413 SMA di Aceh Mulai Belajar Tatap Muka,https://www.medcom.id/pendidikan/news-pendidikan/Wb70PXnk-413-sma-di-aceh-mulai-belajar-tatap-muka,news
5,11,ACEH,buka,13 Juli 2020,"Masuk Zona Hijau Covid-19, 104 Daerah Mulai Sekolah Tatap Muka",https://indonesiabaik.id/index.php/infografis/masuk-zona-hijau-covid-19-104-daerah-mulai-sekolah-tatap-muka,news
6,11,ACEH,buka,20 Juli 2020,Hari Ini SMP dan SMA Sederajat di Aceh Barat Mulai Belajar Tatap Muka,https://rri.co.id/meulaboh/pendidikan-dan-teknologi/870718/hari-ini-smp-dan-sma-sederajat-di-aceh-barat-mulai-belajar-tatap-muka,news
7,11,ACEH,tutup,25 Agustus 2020,"Kasus Corona Bertambah, Sekolah Tatap Muka di Aceh Disetop",https://www.cnnindonesia.com/nasional/20200825160017-20-539119/kasus-corona-bertambah-sekolah-tatap-muka-di-aceh-disetop,news
8,11,ACEH,buka,23 September 2020,Potret Siswa SD di Aceh Besar Kembali Belajar Tatap Muka Meski Pandemi,https://kumparan.com/acehkini/potret-siswa-sd-di-aceh-besar-kembali-belajar-tatap-muka-meski-pandemi-1uFwsQ41JWI,news
9,11,ACEH,buka,9 November 2020,"Mulai Hari Ini, Para Siswa Di Aceh Tengah Kembali Belajar Dengan Sistem Tatap Muka",http://acehtengahkab.go.id/berita/kategori/pendidikan/mulai-hari-ini-para-siswa-di-aceh-tengah-kembali-belajar-dengan-sistem-tatap-muka,news
10,11,ACEH,buka,4 Januari 2021,"Sekolah di Banda Aceh Gelar Belajar Tatap Muka, Segini Jumlah Siswa Yang Belajar",https://www.infobandaaceh.com/2021/01/sekolah-di-banda-aceh-gelar-belajar.html,news
11,11,ACEH,tutup,27 Mei 2021,"Kasus Covid 19 Meningkat di Banda Aceh, Sekolah Kembali Belajar Daring",https://www.kompas.tv/article/178316/kasus-covid-19-meningkat-di-banda-aceh-sekolah-kembali-belajar-daring,news
12,11,ACEH,tutup,27 Mei 2021,"Kasus Covid-19 Meningkat, 103 Sekolah Di Banda Aceh dan Aceh Besar Ditutup",https://nusantara.rmol.id/read/2021/05/26/489386/kasus-covid-19-meningkat-103-sekolah-di-banda-aceh-dan-aceh-besar-ditutup,news
13,11,ACEH,tutup,11 Juni 2021,"Banda Aceh Zona Merah, Sekolah Tatap Muka Disetop Sementara",https://news.detik.com/berita/d-5602194/banda-aceh-zona-merah-sekolah-tatap-muka-disetop-sementara,news
14,11,ACEH,buka,30 Juli 2021,Sekolah di Banda Aceh Gelar Pembelajaran Tatap Muka,https://aceh.inews.id/berita/sekolah-di-banda-aceh-gelar-pembelajaran-tatap-muka,news
